act_code, meaning
YY, no clear function
ST, declarative statement
TO, mark object transfer
PR, verbal move in game
MK, mark event
PF, prohibition
SA, statement answering wh- question
RT, repetition
RP, propose action
RD, refusal to act
AA, answer affirmative
AD, agree to act
CL, call attention
SI, state intent
CS, counter-suggestion
AC, answer calls
QN, ask wh-question
YQ, ask yes/no question
AP, agree with proposition
AN, answer negative
RR, request repeat
DC, declare new state
SC, complete statement on request
DW, disagree with proposition
RQ, yes/no question about other’s wishes
YA, answer question with yes/no question
AB, express approval
CR, criticize nonverbal act
PA, give permission to act
PM, praise for nonverbal act
YD, agree to declaration
PD, promise
XA, exhibit attentiveness
SS, signal to start action
ET, exclaim in surprise
NA, intentionally non-satisfying answer
EI, elicit imitation
GR, give reason
TA, answer limited-alternative question
CN, count
FP, ask for permission to carry out act
ED, exclaim disapproval
EM, exclaim distress
AL, agree to do for the last time
AQ, aggravated question
CM, commiserate/express sympathy
CT, correct
DP, declare make-believe
DS, disapprove
EA, elicit onomatopoeia
EC, elicit completion
EN, express positive emotion
EQ, eliciting question
EX, elicit completion of learned text
GI, give in
ND, disagree with declaration
OO, unintelligible vocalization
TD, threaten to do
TQ, ask limited alternative question
TX, read or recite text
WD, warn of danger
WS, express a wish
